Price,Min Nights,No of Reviews,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
60,3,12,0.82,1,0,3,1,0,rose
136,2,84,1.43,1,76,2,1,0,rose
91,30,20,0.35,3,0,4,2,0,rose
130,30,2,0.03,2,0,2,1,0,rose
45,30,1,0.26,5,364,5,2,3,black
150,3,41,0.95,1,103,1,2,0,rose
70,30,18,0.31,1,0,2,1,0,rose
160,30,16,0.27,1,0,1,1,0,rose
66,20,11,0.2,5,217,2,2,3,black
98,30,8,0.14,2,89,3,2,0,rose
70,30,81,1.37,3,180,1,2,3,black
258,30,3,0.05,2,67,1,1,0,rose
127,5,7,0.12,1,0,2,1,0,rose
121,30,7,0.12,1,0,2,1,0,rose
1275,4,26,0.46,1,269,1,1,2,purple
80,181,0,0.0,1,0,1,1,0,rose
800,2,0,0.0,1,338,3,2,2,purple
65,30,12,0.2,1,0,3,2,0,rose
211,30,5,0.09,3,0,2,2,0,rose
225,30,14,0.24,1,0,2,2,0,rose
125,3,38,0.66,1,0,2,1,0,rose
160,3,91,1.54,1,0,1,1,0,rose
99,30,6,0.1,1,0,1,2,0,rose
115,30,6,0.1,1,0,1,1,0,rose
120,30,45,0.76,1,160,2,1,0,rose
70,30,63,1.07,3,180,1,2,3,black
95,1,28,0.5,1,72,1,2,0,rose
131,2,165,2.77,2,65,3,1,0,rose
122,2,34,0.58,3,10,2,2,0,rose
69,30,27,0.45,1,0,1,2,0,rose
507,30,4,0.08,1,0,2,1,0,rose
99,30,11,0.19,1,300,1,1,3,black
72,30,2,0.03,1,0,2,2,0,rose
99,3,98,1.79,7,120,2,1,0,rose
155,1,178,3.01,1,278,1,1,3,black
49,30,63,1.07,3,316,2,2,3,black
90,30,2,0.03,1,0,1,2,0,rose
125,3,145,2.46,1,251,2,2,3,black
90,30,3,0.05,1,0,1,2,0,rose
98,3,151,2.58,2,348,2,2,3,black
397,30,83,1.47,3,340,1,1,3,black
280,5,0,0.0,3,251,2,1,3,black
145,4,116,1.99,1,11,3,1,0,rose
82,2,190,3.21,1,319,2,2,3,black
353,5,28,0.47,12,53,1,1,0,rose
45,30,6,0.1,1,0,2,2,0,rose
96,3,115,1.95,1,114,2,2,0,rose
370,2,173,2.92,1,187,2,1,3,black
50,30,3,0.05,1,0,3,2,0,rose
295,30,25,0.42,1,196,1,1,3,black
115,30,14,0.25,1,0,2,1,0,rose
92,30,10,0.19,1,325,1,1,3,black
85,2,112,1.88,1,318,2,2,3,black
87,2,55,0.94,1,89,2,2,0,rose
700,3,36,0.82,2,313,1,1,3,black
180,1,39,0.66,4,156,1,2,0,rose
55,14,1,0.02,1,0,2,2,0,rose
80,30,9,0.16,8,82,2,2,0,rose
85,30,4,0.07,1,0,1,2,0,rose
80,2,26,0.44,1,189,2,2,3,black
55,30,3,0.05,1,0,1,2,0,rose
200,30,52,0.88,2,83,1,2,0,rose
75,30,1,0.02,2,0,3,2,0,rose
44,1,6,0.1,1,0,2,2,0,rose
125,30,2,0.03,28,0,2,1,0,rose
78,30,3,0.05,28,65,1,2,0,rose
200,30,1,0.02,1,0,2,2,0,rose
393,2,173,3.05,2,291,3,1,3,black
190,2,162,2.73,2,224,2,1,3,black
100,30,7,0.12,1,0,1,1,0,rose
353,5,30,0.51,12,53,1,1,0,rose
355,5,21,0.51,2,89,1,1,0,rose
157,4,61,1.04,1,47,3,1,0,rose
109,30,2,0.03,1,0,5,2,0,rose
157,1,536,9.1,1,159,1,1,0,rose
164,30,177,3.0,1,196,2,1,3,black
115,30,23,0.39,1,0,2,1,0,rose
45,30,4,0.07,2,0,1,2,0,rose
118,30,19,0.32,1,0,2,1,0,rose
81,30,6,0.1,2,0,1,2,0,rose
126,2,56,0.96,1,1,1,1,0,rose
88,30,23,0.4,1,0,1,2,0,rose
199,365,7,0.12,2,364,1,1,3,black
145,30,7,0.12,1,0,2,1,0,rose
40,30,4,0.07,1,0,2,2,0,rose
70,30,2,0.03,1,0,3,1,0,rose
79,30,3,0.05,1,0,1,2,0,rose
120,6,59,1.26,1,2,1,2,0,rose
65,3,59,1.0,1,0,1,2,0,rose
88,2,94,1.61,1,173,2,2,0,rose
215,2,6,0.1,1,0,1,1,0,rose
159,3,10,0.17,1,0,1,1,0,rose
39,2,24,0.41,1,0,5,1,0,rose
1000,4,8,0.17,2,123,2,1,2,purple
250,30,6,0.1,1,0,1,1,0,rose
650,2,185,3.13,1,77,1,1,0,rose
389,1,193,3.34,2,17,1,1,0,rose
83,1,133,2.26,3,341,3,2,3,black
100,30,2,0.03,1,0,1,2,0,rose
161,91,11,0.19,1,0,2,1,0,rose
100,30,3,0.05,1,0,1,2,0,rose
125,1,0,0.0,1,89,3,2,0,rose
77,28,24,0.85,28,266,1,2,3,black
68,60,8,0.14,1,249,2,1,3,black
80,30,0,0.0,1,0,3,2,0,rose
38,29,210,3.52,4,76,2,2,0,rose
183,3,20,4.05,3,262,3,1,3,black
100,2,30,0.51,2,89,3,2,0,rose
355,3,46,0.8,3,273,3,1,3,black
215,3,56,0.97,2,174,3,1,3,black
45,30,1,0.02,1,0,1,2,0,rose
83,30,3,0.05,2,0,3,2,0,rose
200,5,83,1.42,1,67,2,1,0,rose
40,5,8,0.14,2,0,2,2,0,rose
80,5,55,0.93,1,0,3,2,0,rose
77,5,4,0.07,1,0,3,2,0,rose
50,30,5,0.08,1,0,3,2,0,rose
160,30,3,0.05,83,365,1,1,3,black
53,3,23,0.4,9,309,3,2,3,black
53,3,104,1.78,9,350,3,2,3,black
390,30,86,1.55,1,68,2,1,0,rose
120,3,104,1.77,2,18,2,1,0,rose
85,30,9,0.15,1,0,2,1,0,rose
100,30,26,0.44,1,0,3,2,0,rose
135,30,21,0.36,1,0,1,1,0,rose
