Price,Min Nights,No of Reviews,Latitude,Longitude,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
120,3,108,40.74735,-74.00208,0.79,2,19,1,2,3,black
65,30,7,40.66278,-73.95886,0.08,1,0,2,1,3,black
150,30,8,40.66824,-73.9617,0.06,1,180,2,1,0,gray
340,12,43,40.73193,-73.98511,0.32,1,0,1,1,3,black
98,30,236,40.68413,-73.93538,1.78,3,174,2,1,0,gray
75,30,232,40.83338,-73.94326,1.65,1,365,1,2,0,gray
146,2,50,40.70652,-73.93991,0.39,1,286,2,1,0,gray
60,30,90,40.65468,-73.95721,0.69,1,87,2,2,3,black
105,3,226,40.67641,-73.98161,1.62,2,66,2,2,3,black
650,3,164,40.67782,-73.97205,1.2,1,338,2,1,0,gray
5065,30,269,40.79241,-73.93805,2.0,2,309,1,2,2,red
50,2,0,40.79824,-73.96863,0.0,1,0,1,2,3,black
45,30,3,40.77128,-73.91939,0.02,1,0,3,2,3,black
60,30,1,40.66883,-73.95296,0.01,1,0,2,2,3,black
177,5,240,40.6836,-73.95445,1.72,1,336,2,1,0,gray
50,3,114,40.8666,-73.90061,0.92,4,159,4,2,3,black
50,75,16,40.77728,-73.91278,0.11,1,362,3,3,0,gray
85,30,40,40.7794,-73.95096,0.4,1,23,1,2,3,black
1100,4,200,40.68607,-73.95536,1.5,1,208,2,2,1,green
200,30,1,40.73853,-74.00292,0.01,1,0,1,1,3,black
126,3,254,40.68921,-73.95439,1.83,1,298,2,1,0,gray
170,7,23,40.73243,-73.95716,0.17,1,80,2,1,3,black
90,30,0,40.76739,-73.9557,0.0,1,0,1,3,3,black
139,1,5,40.73693,-73.98129,0.04,1,0,1,1,3,black
125,30,22,40.73125,-73.9811,0.16,1,126,1,1,3,black
150,30,1,40.82553,-73.94511,0.02,1,0,1,1,3,black
130,5,127,40.8078,-73.95232,1.42,1,292,1,2,0,gray
88,30,77,40.7159,-73.99103,0.57,1,0,1,1,3,black
169,5,73,40.73447,-73.88054,0.53,1,365,3,1,0,gray
135,3,295,40.6732,-73.97998,2.16,1,78,2,2,3,black
190,30,106,40.67466,-73.97853,0.97,1,363,2,1,0,gray
66,3,53,40.7012,-73.83151,0.38,4,348,3,2,0,gray
55,30,72,40.68702,-73.94917,0.52,3,0,2,2,3,black
175,30,10,40.75981,-73.99138,0.11,1,0,1,1,3,black
220,1,38,40.73756,-73.9535,0.28,30,216,2,1,0,gray
90,3,323,40.67223,-73.95556,2.38,1,236,2,1,0,gray
75,30,101,40.80748,-73.95589,0.74,1,0,1,2,3,black
190,30,8,40.76922,-73.95648,0.06,1,0,1,1,3,black
398,2,106,40.687,-73.96149,0.76,2,362,2,1,0,gray
82,30,43,40.69913,-73.93107,0.33,2,365,2,2,0,gray
246,4,6,40.73273,-74.00041,0.07,1,0,1,1,3,black
